seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12779,2024,"2024-25 Italian Serie B, Promotion Semifinals",promotion-semifinals,3931,ITA.2,Italian Serie B,Italian Serie B
12781,2024,"2024-25 Italian Serie B, Regular Season",regular-season,3931,ITA.2,Italian Serie B,Italian Serie B
12780,2024,"2024-25 Italian Serie B, Promotion Preliminary Round",promotion-preliminary-round,3931,ITA.2,Italian Serie B,Italian Serie B
12757,2024,"2024-25 Coppa Italia, Round of 16",round-of-16,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12758,2024,"2024-25 Coppa Italia, Second Round",second-round,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12754,2024,"2024-25 Coppa Italia, Final",final,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12755,2024,"2024-25 Coppa Italia, Semifinals",semifinals,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12756,2024,"2024-25 Coppa Italia, Quarterfinals",quarterfinals,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12760,2024,"2024-25 Coppa Italia, Preliminary Round",preliminary-round,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12759,2024,"2024-25 Coppa Italia, First Round",first-round,3956,ITA.COPPA_ITALIA,Coppa Italia,Coppa Italia
12970,2024,"2024 Italian Supercoppa, Semifinals",semifinals,8103,ITA.SUPER_CUP,Italian Supercoppa,Italian Supercoppa
12969,2024,"2024 Italian Supercoppa, Final",final,8103,ITA.SUPER_CUP,Italian Supercoppa,Italian Supercoppa
12362,2024,2024 Japanese J1 League ,2024-japanese-j1-league,750,JPN.1,Japanese J.League,Japanese J1 League
12553,2024,2024 J.League World Challenge,2024-jleague-world-challenge,17931,JPN.WORLD_CHALLENGE,Japanese J.League World Challenge,J.League World Challenge
12852,2024,2024-25 Kenyan Premier League,2024-25-kenyan-premier-league,11054,KEN.1,Kenyan Premier League,Kenyan Premier League
